id,5662,   usa, f, , 19520101, mr, ethan, fry, sa, evandale, 3551, 88, grove place, bobblegigbie, 07 20984124, 1295928, 4, norole
9592,8449,   eng, f, 38, 19780830, dr, christopher, josephson, nsw, kialla, 6037, 8, arkell place, , 2 69394378, 5044054, 6, norole
9593,3434,   ind, f, 28, 19880209, , alexander, sunrita, nsw, penrith, 4152, 1, howchin place, , 02 92442185, 4775137, 2, norole
9594,1778,   unk, f, 33, 19830621, , pino, straw, wa, spalding, 2760, 55, fiveash street, , 618 53581788, 5439648, 9, norole
9595,2153,   unk, , 28, 19880720, , tommi-lee, aaberg, qld, alligator creek, 4114, 27, mackaness place, sierra oaks, 03 06857484, 2517588, 4, norole
9596,2574,   unk, f, 20, 19961126, ms, danny, scofield, qld, delan, 3140, 18, clutterbuck crescent, , 3 39582306, 8074964, 6, norole
9597,9034,   sri, , 28, 19880410, , henry, wickremasinghe, nsw, lake albert, 3133, 9, gaby place, , 2 07706309, 2613508, 6, norole
9598,6824,   cze, f, , 19701029, , georgia, kusnir, qld, riverleigh, 5096, 28, tudor place, , 613 61435667, 8851719, 9, norole
9599,7455,   eng, f, 32, 19841216, , cameron, babcocke, vic, korumburra, 2560, 15, castley circuit, allenstown mall, 08 58030556, 4756018, 0, norole
9600,8958,   ind, f, , 19070505, , jessica, shashank, nsw, parkes, 3133, 67, mcgowan street, , 02 56814058, 3656514, 4, norole
9601,311,   ita, , , 19831221, , luke, pazzio, nsw, sandringham, 4501, 94, ambalindum street, , 2 23214577, 1929438, 4, norole
9602,5408,   rus, f, 25, 19910608, , kaela, kautsky, vic, parkdale, 2194, 24, hobart avenue, , 08 01856259, 6597073, 4, norole
9603,851, eng, f, , 19840827, ms, megan, hrdie, qld, tulandela, 3138, 1, eztau plack, ptswrth retire vlg, 03 68650673, 3720731, 7, norole
9604,1015,   eng, f, 29, 19871227, pfc, bradley, hamm, nsw, catherine field, 3013, 33, blackwell circuit, , 612 61024442, 5595669, 1, norole
9605,1166,   eng, f, 23, 19930702, , charles, jephson, vic, williamstown, 4217, 9, mccann street, , 618 26383718, 6641278, 3, norole
9606,8803,   unk, f, 23, 19930925, ms, kyra, streich, nsw, stanwell park, 3941, 19, bramina station, , 02 15977156, 7681642, 9, norole
9607,2638,   cze, f, 28, 19880529, ms, luke, rusnak, act, reid, 7322, 9, carandini street, , 612 10459567, 3040655, 2, norole
9608,7303,   eng, f, , 19810724, ms, isabella, lund, , spring hill, 2780, 1, davenport street, , 04 29550562, 1993164, 6, norole
9609,4990,   eng, f, 26, 19901122, ms, ethan, quick, vic, chelsea, 2036, 108, o'dea place, , 618 88648672, 4703236, 1, norole
9610,709-dup-2, unk, f, 26, 19900723, mr, istapela, ztreckvuj, wa, morawa, 4350, 10, maharatta circuit, , , 7198871, 5, norole
9611,3328,   unk, f, , 19690228, , yana, sciacca, qld, north tivoli, 5108, 16, birdwood street, , 07 96988894, 6111693, 1, norole
9612,9933,   usa, f, 31, 19850424, , cooper, thomas, vic, elwood, 3111, 47, crisp circuit, karma park, 08 38023919, 4363930, 4, norole
9613,9467-dup-2, abo, f, 3z, 1984 0101, ms, teagan, tap ai, wa, toolbin, 45o4, 3, narrabun dah lane, , 8 194  7351, 6956674, 4, norole
9614,3526,   pol, f, 26, 19901025, , grace, burstzyn, wa, kwolyin, 6029, 41, yerra court, , 618 54381972, 2343464, 4, norole
9615,5625,   usa, f, 21, 19950514, , thomas, whitehead, vic, preston south, 2480, 129, cowdery place, , 8 09260228, 6081783, 7, norole
9616,4008,   eng, f, 12, 20040114, , shai, rogerson, wa, seville grove, 2794, 25, balson place, , 618 95220015, 9879537, 1, norole
9617,2164,   chi, m, 26, 19900505, , abbey, ngau, vic, avonsleigh, 2168, 31, jaeger circuit, , 618 38952951, 1092696, 1, norole
9618,6093,   eng, , 24, , , oliver, goode, nsw, cobbitty, 2575, 29, clubbe crescent, , 02 95667437, 4798234, 1, norole
9619,20,   ind, f, 27, 19890808, , natalia, susarla, wa, dean park, 2333, 55, majura avenue, , 618 89524126, 7422637, 9, norole
9620,4852,   dan, f, 26, 19900502, mr, matthew, johansson, vic, narbethong, 4650, 38, , , 08 45118979, 9350680, 1, norole
9621,6867,   ger, , 23, 19931014, , zane, , wa, ledge point, 2073, 56, lee-steere crescent, parry hse, 618 94261007, 1318204, 2, norole
9622,381,   eng, f, 28, 19880908, mr, abigail, joiner, nsw, aberdare, 4055, 791, masters place, apple glen, 612 05778976, 2720106, 0, norole
9623,6230,   wel, f, 26, 19901110, , harrison, mellens, nsw, woodford, 2768, 620, twelve trees crescent, , 02 05878011, 1718914, 7, norole
9624,8438,   ind, f, 8, 20080716, , isabella, bal, nt, berrimah, 3174, 704, axon street, wingara, 3 33451098, 7023796, 2, norole
9625,5657,   ina, f, 31, 19850818, , richard, kurniawan, qld, helensvale, 4878, 30, bangalay crescent, killarney, 03 24135261, 8854502, 1, norole
9626,1797,   eng, m, 25, 19910921, , benjamin, clausson, qld, kawl kawl, 4157, 10, willcock place, , 03 06944067, 5845738, 7, norole
9627,2143,   usa, f, 31, 19850707, , blake, dudley, vic, portarlington, 2009, 15, , , 08 68827748, 3010796, 5, norole
9628,2383,   ind, , 33, 19830603, ms, sian, venkataramanan, qld, tarramba, 3199, 37, crisp circuit, inglewood, 03 48266352, 1966910, 2, norole
9629,313,   sri, m, , 19780130, , naomi, dezoysa, vic, wellington point, 6027, 50, mcintyre street, , 08 19543385, 4398063, 4, norole
9630,1487,   usa, f, 37, 19790615, , jessica, mcfadden, tas, summerhill, 4810, 69, salsola street, athlone 2, 07 26194406, 2350438, 5, norole
9631,3875,   unk, m, 22, 19940522, , pascale, scottjackson, qld, grays gate, 2323, 9, balfour crescent, , 03 26861741, 9715680, 1, norole
9632,176,   unk, m, , , , sam, , sa, seaton, 3134, 42, fitzhardinge crescent, rankin park, 617 53125697, 2269871, 7, norole
9633,6454,   unk, m, 8, , ms, angus, strawbridge, vic, bolton, , 4, groom street, , 618 70149405, 6446349, 6, norole
9634,497,   , , 39, 19770405, , madison, matthews, vic, carapook, 2122, 28, , , 8 29141280, 5040065, 2, norole
9635,5467,   eng, f, , 19610405, , annabelle, derricks, , surrey hills, 4216, 626, pearson street, ridge-e-didge, 07 12693106, 6814741, 8, norole
9636,2597,   eng, m, 29, 19871217, , jenna, albinson, nsw, cecil park, 4113, 8, perry drive, karsul, 612 67317648, 4702675, 0, norole
9637,1026,   eng, f, 27, 19891102, mr, alexandra, mckenna, wa, kauring, 4053, 138, tannabar place, , 08 40256321, 1259804, 3, norole
9638,7496,   usa, f, 29, , , jamie, stephenson, nsw, rathmines, 2263, 306, lennard street, , 612 31742275, 9992883, 3, norole
9639,33,   unk, m, 28, 19880127, , michelle, aarts, nsw, boat harbour, 4560, 7, streeton drive, rosehill, , 7317569, 6, norole
9640,8861,   eng, f, 31, 19850804, , hayden, dennell, wa, morphettville, 2148, 157, longley place, , 08 23081807, 2330432, 4, norole
9641,4618,   usa, f, 36, 19800222, , troy, nolan, nsw, south albury, 2800, 354, harrison street, , 02 54614819, 2318578, 9, norole
9642,845,   usa, m, , 19340508, , hayden, watkins, qld, cloyna, 3020, 3, gunn street, settlers hills, 03 63410787, 3500185, 3, norole
9643,2754,   usa, f, 27, 19891014, , taylah, kelly, nsw, allambie heights, 2142, 1, liffey circuit, , 2 92315197, 4747237, 2, norole
9644,2272,   eng, f, 28, , , jye, prescott, qld, wulkuraka, 3216, 57, reveley crescent, , 613 77747666, 2813713, 7, norole
9645,6925,   ind, f, 19, 19970831, , luke, vasavi, vic, kilsyth south, , 7, damala street, , 08 67242671, 1141179, 6, norole
9646,8397-dup-1, eng, m, , 19651209, , set , martin s, qld, cockatoo, 4650, 9, thurgoodcourt, , 613 21415144, 5787729, 9, norole
9647,4203,   unk, m, 32, 19841204, , pascale, scoby, nsw, drummoyne, 4073, 25, nambucca street, , 02 16242483, 1186131, 7, norole
9648,5556,   unk, , 36, 19800225, , joshua, , nsw, crookwell, 4305, 299, blackham street, salimtal, 612 56970806, 2856193, 2, norole
9649,8217,   hun, f, 26, 19901013, , maya, lubik, vic, alma, 4872, 73, blackwood terrace, ngere, 07 44814021, 6213756, 4, norole
9650,870,   afr, , 32, 19840129, ms, benjamin, atayi, , albury, 4670, 6, doughty place, trellech, 04 33353977, 2003778, 9, norole
9651,8664,   eng, m, 34, 19820604, ms, alexander, quickley, , broadmeadows, 2430, 7, arthur circle, , 08 02371322, 9470555, 6, norole
9652,3040,   chi, f, 31, 19850606, ms, delaney, wong, nsw, horsley park, 2489, 18, , mount tongbong, 612 52655567, 1775249, 1, norole
9653,8689,   ita, , , 19541209, , jessica, calvocoressi, vic, poowong, 2194, 78, keith street, , 618 13808439, 7673183, 5, norole
9654,2983,   chi, f, , , , pace, szma, qld, bungeworgorai, 2113, 135, franklin street, berragoon, 613 31952483, 2550560, 1, norole
9655,2431,   usa, , 29, 19870328, , isobel, alexander, vic, st kilda road central, 5253, 63, enderby street, , 8 74975362, 1273064, 5, norole
9656,5244,   eng, m, 22, 19940522, ms, holly, hyland, wa, home island (cocos (keeling) islands), 5554, 95, dunstan street, , 04 30075369, 9054031, 0, norole
9657,2318-dup-1, pol, , , 19110105, mr, jlo, bury, vic, terrgla, 4573, 13, london circuit, suunybrae, 618 45012372, 1113017, 8, norole
9658,3263-dup-2, unk, f, , 19660310, dr, jemi ma, scke, nsw, terreyhills, 2913, 165, archibaldstreet, wyong pla    village, 02 565 9936, 9027817, 5, norole
9659,1498,   unk, f, 22, 19940214, ms, mia, sclater, nsw, jugiong, 4370, 43, schlich street, , 02 08983274, 1719360, 0, norole
9660,615-dup-1, cze, f, 27, 19891004, , jan, kundrikk, fic, waring, 3059, 210, jumeahland circuit, mt anan, 8 67124940, 7889504, 8, norole
9661,1697, eng, f, 2, 19870106, , ja , wakefield, nsw, bary  gil, 2480, 2 2 , clarey crescent, , 2 93809260, 7486387, 4, norole
9662,7976,   ger, f, 23, 19930101, , mitchell, mendelsohn, act, mullaloo, 2165, 95, ratcliffe crescent, the park, 2 53877852, 5640383, 5, norole
9663,1550,   ger, f, 29, 19870608, , william, schbert, vic, tottenham, 6168, 2, morrow street, , 8 25289919, 6379877, 0, norole
9664,6107,   ger, f, 30, 19861119, , lachlan, goettinger, nsw, ladysmith, 6060, 43, norman street, nestor, 612 38141578, 4896914, 4, norole
9665,6642,   eng, , , 19100525, ms, eliza, victorson, qld, montville, 2486, 285, barney street, , 3 29496018, 5334653, 7, norole
9666,7543,   unk, f, 23, 19931009, ms, hannah, scofield, wa, yuna, 7190, 120, mcbryde crescent, , 08 66945238, 3358075, 0, norole
9667,253,   chi, m, 30, 19860909, , lucy, tsong, qld, glenden, 4556, 10, macgregor street, , 03 61520844, 2617699, 5, norole
9668,1496,   chi, f, 29, 19870212, ms, emma, kuang, qld, glenvale, 6059, 14, sproule circuit, manton's rise, 3 35863426, 9806970, 6, norole
9669,1341,   fre, f, 29, , , alessandra, ducat, vic, wantirna, 2228, 27, cane place, rosebrook, 04 05372299, 7538951, 2, norole
9670,5785,   eng, , 32, , ms, mattheo, tasker, vic, meeniyan, 3067, 16, packer street, , 08 40969063, 1642326, 6, norole
9671,3901,   eng, f, , 19080926, , imogen, elliston, nsw, queanbeyan west, 2847, 247, burkitt street, , 2 41516751, 3253932, 6, norole
9672,9913,   ger, m, 40, 19760501, dr, sidonie, guschlbauer, vic, murtoa, 4870, 9, arndell street, , , 4985040, 9, norole
9673,9935,   eng, f, , 19770925, , harry, herbertson, , brighton, 2617, 3013, mckeown place, , 03 70153169, 9981084, 3, norole
9674,8015,   jap, f, 38, 19780924, , william, takemitsu, , willetton, 3148, 5, stewart crescent, , 08 69872731, 7383954, 8, norole
9675,935,   ind, f, 30, 19861212, ms, seth, nirupama, nsw, bookham, 4350, 31, halifax close, , 2 17663250, 1777846, 7, norole
9676,6712,   eng, f, , 19600107, , crystal, spearing, vic, cambrian hill, 2026, 29, leichhardt street, , 08 44918526, 5257209, 0, norole
9677,6410,   usa, f, , 19470105, , bertie, weaver, vic, seddon, 3186, 790, taronga place, , 8 31827286, 4771473, 7, norole
9678,4750,   eng, f, , 19901206, , louis, scrivener, , seven hills, 0812, 11, packham place, , 07 71264497, 7482651, 7, norole
9679,8385,   usa, , 25, 19910825, , sophie, buckner, tas, interlaken, 4655, 125, tytherleigh street, kersley mews, 7 15315900, 2803618, 1, norole
9680,7680,   ind, f, 29, 19870523, , talyah, vemireddy, qld, didcot, 3162, 8, helen mayo crescent, rawdon, 03 74822533, 5721371, 8, norole
9681,5959,   unk, m, 31, 19851017, , joshua, abat, vic, kings park, 4178, 33, tauss place, tongeroo, 07 03241304, 4814430, 5, norole
9682,6881,   eng, f, 27, 19891021, , shenae, clawson, vic, harrietville, 3133, 72, nicholas street, , , 4983585, 9, norole
9683,6744,   usa, , 13, 20030706, pfc, jason, giles, vic, mccrae, 3087, 2, newland street, , 08 17105326, 2333030, 4, norole
9684,6180,   jap, , 33, , mr, kaitlyn, jumonji, sa, bellbridge, 6054, 113, boronia drive, mayflower retrmnt vlge, 7 38731459, 5446280, 0, norole
9685,7787,   ind, f, 32, 19840611, , gemma, , wa, irwin, 2017, 16, , , 8 57886594, 7181928, 5, norole
9686,6517,   eng, f, 25, 19910512, , riley, vipond, vic, dunolly, 4627, 15, kneeshaw street, , 08 53041080, 4642248, 8, norole
9687,1909, ger, f, 36, 19800 427, , 5amuel, blume, qld, dick y  e ach, 22 9, 2 , kosciusko avenue, , 3 07345954, 3336738, 6, norole
9688,8630,   por, , 34, 19821107, , benjamin, edhino, qld, pechey, 3788, 28, erldunda circuit, , 613 47791185, 6648004, 1, norole
9689,8668,   usa, f, 28, , ms, taalia, sykes, wa, koolyanobbing, 7051, , goddard crescent, eriswell park, 08 87379162, 1109775, 4, norole
9690,3646,   ser, f, 36, 19800616, , abbey, bourek, nsw, dover heights, 4350, 4, deloraine street, peachtree centre, 2 56752780, 1013779, 1, norole
9691,4677,   eng, , 11, 20050715, , kyle, elder, qld, beelbi creek, 4700, 13, huxham place, , 613 56949692, 4081384, 1, norole
9692,7585,   usa, f, 9, 20070528, ms, emiily, wall, wa, coogee, 7008, 9, bollard street, albeni station, 08 09567021, 2229334, 5, norole
9693,2989,   usa, f, 31, 19851009, , savannah, lin, vic, digby, 4567, 46, , , 618 03030116, 4241429, 6, norole
9694,6488,   tha, f, , , , charles, suprija, wa, gregory, 4815, 38, eldridge street, bonnie, , 6198184, 7, norole
9695,3742,   eng, f, 32, , mr, henry, clemens, nsw, binnaway, 2450, 62, mackellar crescent, , 02 85259529, 3202776, 5, norole
9696,7642,   usa, f, 9, 20070215, , willow, cunningham, sa, angaston, 3186, 2, hyndes crescent, brentwood vlge, 03 25214391, 1562677, 4, norole
9697,5755,   tur, f, 31, 19850610, ms, sylvie, sertel, sa, brooklyn park, 2026, 4, kelverstone circuit, , 07 74129130, 9106024, 4, norole
9698,436,   usa, f, 27, , , matthew, saunders, vic, sheffield, 3629, 66, johnston street, drypoint, 8 77724504, 4370450, 9, norole
9699,6574,   unk, f, 12, 20040620, mr, georgia, abadi, nsw, mount austin, 2200, 17, allchin circuit, , 612 87662941, 1271988, 1, norole
9700,2778,   usa, , 31, 19850424, pfc, kaitlin, hines, wa, woogenellup, 3075, 1, derrington crescent, , 618 28440395, 7528455, 3, norole
9701,4505-dup-1, chi, m, 20, 19960815, , william, wen, nsw, queanbeyaan east, 4754, 1, allambee street, , 612 69011159, 3007672, 9, norole
9702,7749,   tur, , 21, 19950520, ms, connor, isa, sa, o b flat, 6016, 2, torrens street, , 03 95547809, 4522575, 9, norole
9703,8585,   ger, m, , 19070415, mr, connor, sawallisch, vic, hexham, 3136, 16, bacchus circuit, , 08 55618737, 7719692, 8, norole
9704,7386,   unk, f, , 19690430, ms, alana, scorsone, wa, south bunbury, 3930, 13, cockcroft avenue, , 618 01495040, 8306524, 7, norole
9705,2726,   unk, f, 27, 19891130, ms, talia, strampher, nsw, tabulam, 6169, 81, chave street, , 02 17031161, 3457314, 6, norole
9706,7485,   ger, f, 28, 19880425, , tommy, sack, qld, burleigh heads, 4032, 130, howitt street, , 3 37287842, 2450696, 1, norole
9707,8432,   usa, f, , 19690902, , alana, stewart, nsw, long jetty, 4306, 161, baddeley crescent, the summer house, 2 70303636, 3253396, 0, norole
9708,312,   unk, f, , 19720112, , alana, sciacca, nsw, maitland, 4655, 17, southern cross drive, teralba caravn park, 612 51729611, 4622282, 1, norole
9709,6383,   unk, , 30, 19860803, pfc, aaron, scime, nsw, verges creek, 3264, 26, darling street, , 02 75552592, 4312844, 7, norole
9710,2749,   afg, , 22, 19940710, , olivia, baha, vic, wollert, 2546, 8, harpur place, , 04 75317628, 2809723, 9, norole
9711,4559,   eng, f, 41, 19750401, , ebony, clemens, vic, tawonga south, 5039, 7, quinn street, , 618 36326454, 7643537, 4, norole
9712,8792,   eng, m, 32, 19840602, , leah, clarkson, wa, denham, 4215, 2, middleton circuit, , 08 90232311, 6719785, 6, norole
9713,5279-dup-1, ind, f, 22, 19940729, ms, jordan, muthuswami, ns w, kia a, 3644, 2 , marshall street, oaks carava  village, 2 32295449, g84 o717, 6, norole
9714,4207,   fin, , 28, 19880110, , joshua, autio, nsw, gungal, 3032, 3, covington crescent, , 612 91638817, 4053641, 1, norole
9715,4265,   unk, f, 34, 19820818, , brooklyn, strawbridge, , chillingham, 6026, 37, couvreur street, , 07 68510814, 4929414, 8, norole
9716,9575, unk, f, , 19630104, , il, aarsi, wa, jtod hedland, 4155, 38, ashby circuit, , 8 79820310, 1326142, 9, norole
9717,7397,   ger, f, 35, 19811115, dr, simon, dautzenberg, sa, renmark, 3068, 6, fewtrell place, espie, , 8954385, 4, norole
9718,2852,   eng, f, 30, 19861120, , makenzie, royceston, vic, melbourne airport, 7310, 200, chandler street, winchester, 618 06911358, 9628668, 1, norole
9719,8431,   unk, m, 33, , , ruby, stranger, vic, yarraville west, 4161, 284, cambridge street, eubindal, 08 57136045, 6358590, 3, norole
9720,9963,   unk, , , 19470914, ms, jessica, schwanke, wa, osmington, 2284, 12, chaseling street, , , 7853386, 1, norole
9721,1114,   ina, f, 25, 19910123, ms, alissa, hartono, nsw, goolmangar, 2151, 64, bimbiang crescent, langi, 612 63753396, 4484877, 5, norole
9722,8694,   usa, f, 39, 19770824, , joshua, steele, nsw, ashley, 4211, 8, maccallum circuit, croftby lake, 612 29216756, 8833258, 9, norole
9723,8311,   sri, f, 40, 19761114, , laura, jayawardene, qld, yuleba north, 3435, 120, arthur circle, , 03 08927997, 3519419, 6, norole
9724,785,   unk, m, 30, 19860712, ms, chloe, scolastique, , oakhurst, 2018, 31, southwell street, trail view, 03 53174312, 6981057, 6, norole
9725,440,   usa, f, 30, , , mhary, riggs, qld, budgee, 3033, 11, ballow crescent, , 03 33975578, 7061051, 6, norole
9726,3390,   unk, f, , 19731219, , jade, strahn, vic, mildura, 2533, 44, monkman street, , 08 31976020, 1337337, 5, norole
9727,1039,   unk, f, 33, 19831220, hon, kyra, scirri, vic, cape burney, 2164, 7, menzie place, , 08 84984461, 2168487, 7, norole
9728,1088,   iri, , 30, 19860327, hon, chase, monahan, nsw, lake heights, 6076, 2, beetaloo street, bryngola, 612 48435891, 9117406, 3, norole
9729,3682,   eng, f, , 19040810, dr, robert, jeffries, vic, meredith, 3020, 28, clift crescent, swinger hill, , 4710419, 6, norole
9730,6016, ind, f, 30, 19861229, , kyl , salo i, vic, ballarat  est, 4560, 2 , carrodus treet, , 842825080, 2794448, 7, norole
9731,3428,   usa, f, 30, 19860810, hon, michael, bradley, vic, sandy point, 6157, 21, malara street, molyneux hse, 8 75018885, 2274789, 5, norole
9732,2078,   rus, , , , , lauren, dounev, vic, litchfield, 2444, 1, tullaroop street, skerman chambers, 8 50100810, 3962920, 2, norole
9733,8535,   ind, , 27, 19890613, , courtney, bhuppal, vic, glen creek, 3083, 3, , , 8 25623706, 2660223, 9, norole
9734,5478-dup-2, usa, , 40, 1976  07, ms, harriet, cummings, n 5w, tullamoe, 2147, 2, tinderrv circuit, , 612 09897109, 4529816, 7, norole
9735,215,   ser, , , 19360805, , samuel, milinkovic, nsw, berkshire park, 2582, 9, abercorn crescent, , 02 20446953, 9178092, 7, norole
9736,3950,   chi, , 10, 20061106, ms, ben, kann, vic, wishart, 5018, 2, skinner street, , 618 85280637, 2453053, 5, norole
9737,3154,   ind, m, 30, 19860916, mr, emiily, nayak, vic, young, 2162, 2, sternberg crescent, rowethorpe, 08 82996086, 8408691, 3, norole
9738,6991,   usa, f, 19, 19970729, lgt, lara, mcfarland, vic, redbank, 7109, 3, hopkins street, , 03 35759111, 9810464, 8, norole
9739,7499,   usa, f, 32, 19840108, , teegan, copeland, nsw, boonoo boonoo, 6383, 4, masters place, halls of residence monash university, 612 72099698, 6839291, 1, norole
9740,1101,   chi, f, , 19130929, , chloe, ywe, qld, yimbun, 4053, 574, pawsey circuit, , 03 95769256, 8660941, 3, norole
9741,570,   unk, f, 30, 19860202, ms, charles, abbetmeyer, vic, lysterfield south, 2075, 38, yanda street, , 03 48236145, 9721177, 0, norole
9742,3974,   chi, , , 19280423, , jack, cheang, , anula, 6051, 40, tallon place, , 08 14772375, 7968904, 5, norole
9743,5521,   , f, 27, 19890119, , maxin, kapioldassis, qld, mona park, 3132, 21, hyatt place, , 3 21291202, 9988461, 2, norole
9744,5128, usa, , , 19801 4, , emi ily, stanton, nsw, hazelgrove, 500 ,  7 6, cowanbrae street, narada upper, 612 47913384, 2701753, 9, norole
9745,9381,   eng, m, 31, 19851013, , lynton, christinsen, qld, crossdale, 5038, 28, cowper street, , 3 29922323, 5020704, 5, norole
9746,2225,   eng, f, 26, 19900817, ms, caitlin, mcnabb, qld, kings creek, 3076, 3, kingsford smith drive, wirrabilla, 3 85341140, 9219401, 0, norole
9747,1812-dup-1, eng, b, , 19520628, mr, cameron, gabrielson, sx, paralowie, 2533, 23, bollard street, , 03 27469006, 7970577, 7, norole
9748,7255,   ger, m, 31, , , monique, frenkiel, nsw, georges hall, 2021, 3, tenison-woods circuit, utopia, 612 12032175, 5186450, 5, norole
9749,1482,   chi, m, , 19690625, , jessica, ruan, nsw, bateman, 5098, 1, burrell street, , 612 79330533, 4699996, 6, norole
9750,4779,   ser, f, 24, 19920420, , finlay, hudelist, wa, bow bridge, 7315, 42, medley street, , 8 42379399, 2719458, 0, norole
9751,5766,   chi, f, , 19830502, ms, deakin, fan, vic, vinifera, , 93, nimbin street, , 08 57542530, 8516015, 4, norole
9752,7580,   eng, f, , 19620910, , madison, brewster, , cowley, 3585, 29, nemarang crescent, , 03 07595653, 8529977, 6, norole
9753,3200,   ind, f, 30, , ms, jessica, purujit, wa, holleton, 2250, 81, bollard street, , 08 23458258, 5540444, 6, norole
9754,7540,   chi, f, , 19430714, , ethan, byan, act, yarralumla, 3205, 3, chapman street, , 02 67996812, 9316491, 7, norole
9755,1729,   ger, f, 23, , hon, samuel, magel, wa, woolocutty, 2199, 156, baseby place, , 618 57617836, 7849003, 7, norole
9756,3638,   ind, f, 26, 19900103, , kristin, balli, vic, yandoit, 3579, 68, taroona place, , 08 75389618, 4496416, 1, norole
9757,9725,   hun, m, 23, 19930210, , , soltesz, , corlette, 3896, 7, mcclintock street, , 03 58326540, 5796050, 3, norole
9758,3214,   ira, m, 27, 19890510, , emiily, karimi, nsw, copmanhurst, 4815, 25, builder crescent, , 612 20295413, 4216422, 6, norole
9759,446,   unk, f, 36, 19801025, , harvey, aarts, , rostrevor, 3844, 61, jaeger circuit, , 04 23054608, 4346238, 1, norole
9760,2028,   unk, f, 27, 19890716, pfc, takeisha, , nsw, yatte yattah, 2068, 14, alice jackson crescent, , 2 11831749, 4577380, 8, norole
9761,3727,   chi, f, 28, 19880227, , zac, mar, sa, lynton, 4556, 68, greenvale street, , 617 16541810, 3845828, 0, norole
9762,9327-dup-1, unk, f, 35, , , e m i y, scofie d,  vic, putty, 33 56, 44, mokare s reet, villa 74, 8 08039104, 4529273, 6, norole
9763,1986,   , , 32, 19840123, , louis, white, vic, st kilda road, 2192, 146, kambalda crescent, mlc centre, , 7427488, 8, norole
9764,3368,   unk, f, 13, 20030823, , kira, strazzari, nsw, tucabia, 3283, 7, mewton place, stoney creek, 02 09267719, 2334124, 8, norole
9765,6656, eng, m, 3 , 19820629, , conno r, rye ly, sa, waterloo corner, 203 , 3  , , , 617 630 q 38, 6771476, 3, norole
9766,4250,   ind, f, 26, 19900428, mr, keelin, muppala, wa, balbarrup, 6006, 186, warrumbul street, , , 1564297, 3, norole
9767,282,   usa, f, , 19270930, , sam, houston, nsw, colo vale, 6171, 2, beasley street, brentwood vlge, 2 09638778, 6249771, 3, norole
9768,4898,   afr, f, 28, 19880817, , faith, jallow, vic, merricks north, 2615, 32, gilruth street, , 04 76299724, 7169805, 8, norole
9769,9533,   ser, f, 24, 19920613, dr, luke, ondruska, nsw, swan vale, 0870, 56, , caravn park, 2 62987983, 7838582, 6, norole
9770,2557,   ind, m, 11, 20050322, , joshua, sarin, qld, mareeba, 2150, 14, kingsford smith drive, , 03 62783111, 5015101, 5, norole
9771,4413,   chi, f, , 19270426, hon, chloe, ai, nsw, nulkaba, 2145, 14, cadell street, , 612 67540292, 4991146, 5, norole
9772,5948,   usa, f, 31, 19851227, ms, laura, higgins, vic, mount clear, 2250, 31, hugh mckay crescent, , 618 65648939, 9829957, 0, norole
9773,6349,   eng, m, , 19650806, , matthew, mckenna, nsw, erina, 2650, 5, oliver street, vanorluc rmb 4050, 03 97572610, 9556355, 0, norole
9774,9863,   eng, m, 34, 19820827, , sarah, deadman, vic, albury, 2431, 500, mortlock circuit, lassaan, 08 70179300, 1169022, 1, norole
9775,9196,   cze, f, 26, 19900207, mr, james, benko, nsw, buronga, 5173, 171, gatty street, , 2 36660195, 6304633, 6, norole
9776,2368,   ger, f, , , mr, teegan, rossen, qld, yaraka, 7275, 4, raymond street, , 03 97404597, 2709332, 2, norole
9777,4261,   chi, f, 30, 19860903, mr, erin, dzwo, sa, pasadena, 5051, 30, tazewell circuit, bimbadoon, 7 32189312, 4285313, 9, norole
9778,9038,   ser, , 33, 19830623, , kelsea, badurina, , jamberoo, 2650, 14, templestowe avenue, , 04 28400129, 5565823, 8, norole
9779,7714,   usa, , , 19420724, ms, mikayla, butler, nsw, campsie, 4670, 32, homburg street, moonee beach caravan park, 612 84436103, 9066584, 2, norole
9780,7669,   ger, f, , 19970722, , kimberly, voigt, vic, maude, 2232, 362, muir close, , , 8410737, 6, norole
9781,9362,   usa, f, 40, 19760821, ms, sophie, cantu, vic, rocklyn, 2031, 10, orion place, , 8 11176698, 9202075, 2, norole
9782,6413,   usa, f, 30, 19860425, dr, oscar, cheung, wa, college grove, 3183, 25, wild street, , 08 58937788, 6959522, 9, norole
9783,9872,   jap, m, , 19860101, , tai, endoso, act, flynn, 0810, 58, , marandyvale, , 6354963, 6, norole
9784,6804-dup-1, , f, , 19531006, m , freya, w'llkins, , huon lle, 2290, 30, ogilv i  place, , 08 86645 99, 4727 37, 7, norole
9785,9179,   sri, m, 10, 20060901, , tegan, tillekaratne, nsw, conoble, 3111, 1, wilkins street, frm 654, 2 22313435, 3799824, 6, norole
9786,1202,   , f, , 19411103, ms, alicia, dibben, qld, lake macdonald, 3103, 136, maygar street, , 02 53145967, 6796578, 6, norole
9787,839,   eng, f, 33, 19831224, , riley, traves, nsw, woolwich, 3166, 8, hawker street, yallanbee, 2 14163380, 9032957, 0, norole
9788,9366,   unk, , 24, , , alexandra, aakre, tas, lughrata, 2230, 38, ellerston avenue, , 07 44055563, 6541672, 8, norole
9789,5905-dup-1, eng, , , 19291002, , jo e l, huddleson, nsw, dolans bay, 2099, |4, moon place, , 0231895801, 38l6976, 7, norole
